,FSTEMIB,CAC 40,DAX,SP 500,IBEX,SX5E
2009-08-25,22473.800781,3680.610107,5557.089844,1028.0,11427.799805,2801.139893
2009-08-26,22554.699219,3668.3400880000004,5521.970215,1028.119995,11376.400391,2788.899902
2009-08-27,22474.800781,3648.530029,5470.330078,1030.97998,11356.900391,2777.6201170000004
2009-08-28,22672.5,3693.139893,5517.350098,1028.930054,11442.700195,2803.649902
2009-08-31,22420.400391,3653.540039,5464.609863000001,1020.6199949999999,11365.099609,2775.169922
2009-09-01,21966.199219,3583.4399409999996,5327.290039,998.0399779999999,11173.0,2715.73999
2009-09-02,21773.599609,3573.1298829999996,5319.839844,994.75,10999.700195,2703.76001
2009-09-03,21936.599609,3553.51001,5301.419922,1003.23999,11018.099609,2699.219971
2009-09-04,22214.599609,3598.76001,5384.430176,1016.400024,11222.700195,2743.340088
2009-09-07,22563.300781,3652.830078,5463.509765999999,1016.400024,11388.599609,2783.840088
2009-09-08,22542.900391,3660.959961,5481.72998,1025.390015,11366.599609,2786.25
2009-09-09,22802.0,3707.6899409999996,5574.259765999999,1033.369995,11462.0,2820.580078
2009-09-10,22849.900391,3705.8701170000004,5594.77002,1044.140015,11340.799805,2817.5
2009-09-11,23039.300781,3734.889893,5624.02002,1042.72998,11452.599609,2831.3701170000004
2009-09-14,23029.300781,3730.610107,5620.240234000001,1049.339966,11492.599609,2829.25
2009-09-15,23108.099609,3752.209961,5628.97998,1052.630005,11593.299805,2843.0
2009-09-16,23465.5,3813.790039,5700.259765999999,1068.76001,11746.900391,2882.280029
2009-09-17,23583.0,3835.2700200000004,5731.140136999999,1065.48999,11771.0,2895.449951
2009-09-18,23484.0,3827.8400880000004,5703.830078,1068.300049,11777.299805,2887.23999
2009-09-21,23047.900391,3812.1599119999996,5668.649902,1064.660034,11727.400391,2872.51001
2009-09-22,23066.900391,3823.5200200000004,5709.379883,1071.660034,11816.700195,2881.600098
2009-09-23,23239.099609,3821.790039,5702.049805,1060.869995,11853.299805,2887.23999
2009-09-24,22953.400391,3758.360107,5605.209961,1050.780029,11695.900391,2838.219971
2009-09-25,23102.699219,3739.139893,5581.410156,1044.380005,11643.799805,2831.949951
2009-09-28,23478.400391,3825.0,5736.310059,1062.97998,11891.200195,2899.1201170000004
2009-09-29,23565.599609,3814.100098,5713.52002,1060.609985,11853.700195,2892.439941
2009-09-30,23472.699219,3795.4099119999996,5675.160156,1057.079956,11756.099609,2872.6298829999996
2009-10-01,23053.5,3720.7700200000004,5554.549805,1029.849976,11518.200195,2810.459961
2009-10-02,22652.900391,3649.899902,5467.899902,1025.209961,11326.700195,2760.600098
2009-10-05,22830.800781,3675.01001,5508.850098,1040.459961,11557.0,2790.780029
2009-10-06,23459.599609,3770.209961,5657.640136999999,1054.719971,11817.099609,2865.699951
2009-10-07,23414.300781,3756.4099119999996,5640.75,1057.579956,11721.400391,2852.169922
2009-10-08,23663.699219,3806.8100590000004,5716.540039,1065.47998,11814.299805,2887.610107
2009-10-09,23770.599609,3799.610107,5711.879883,1071.48999,11743.200195,2882.179932
