Date,ON,3M,6M,12M
08/03/2011,0.55625,0.80750,1.11375,1.58500
09/03/2011,0.55625,0.80813,1.11375,1.58688
10/03/2011,0.55625,0.80813,1.11375,1.58688
11/03/2011,0.55625,0.80625,1.11125,1.58375
14/03/2011,0.55625,0.80688,1.11188,1.58438
15/03/2011,0.55688,0.80563,1.10750,1.57688
16/03/2011,0.55688,0.80563,1.10750,1.58063
17/03/2011,0.55688,0.80563,1.10875,1.58313
18/03/2011,0.55688,0.80563,1.10875,1.57938
21/03/2011,0.55688,0.80563,1.10875,1.58125
22/03/2011,0.55688,0.81375,1.12188,1.59500
23/03/2011,0.55813,0.81438,1.12313,1.59500
24/03/2011,0.55813,0.81563,1.12313,1.59500
25/03/2011,0.55813,0.81563,1.12313,1.59500
28/03/2011,0.55938,0.81625,1.12375,1.59625
29/03/2011,0.55938,0.81625,1.12375,1.59625
30/03/2011,0.55938,0.81625,1.12500,1.59688
31/03/2011,0.56063,0.81813,1.12688,1.59875
01/04/2011,0.56188,0.82063,1.12813,1.60250
04/04/2011,0.56313,0.82188,1.12875,1.60563
05/04/2011,0.56563,0.82375,1.13375,1.61250
06/04/2011,0.56563,0.82375,1.13375,1.61188
07/04/2011,0.56563,0.82375,1.13375,1.61188
08/04/2011,0.56688,0.82375,1.13375,1.61313
11/04/2011,0.56813,0.82375,1.13375,1.61313
12/04/2011,0.56813,0.81938,1.12125,1.59688
13/04/2011,0.56688,0.81938,1.12063,1.59500
14/04/2011,0.56688,0.81938,1.11625,1.59125
15/04/2011,0.56688,0.81938,1.11625,1.59125
18/04/2011,0.56688,0.81938,1.11625,1.59063
19/04/2011,0.56688,0.81938,1.11625,1.59063
20/04/2011,0.56688,0.81938,1.11625,1.59063
21/04/2011,0.57213,0.81938,1.11625,1.59063
26/04/2011,0.57400,0.81938,1.11500,1.58813
27/04/2011,0.57588,0.82188,1.11688,1.59375
28/04/2011,0.58088,0.82188,1.11625,1.59156
03/05/2011,0.58088,0.82188,1.11500,1.58656
04/05/2011,0.57838,0.82188,1.11313,1.58344
05/05/2011,0.57713,0.82188,1.11188,1.58344
06/05/2011,0.57588,0.82188,1.11063,1.58344
09/05/2011,0.57588,0.82188,1.11063,1.58344
10/05/2011,0.57588,0.82188,1.10938,1.58344
11/05/2011,0.57463,0.82250,1.11125,1.58906
12/05/2011,0.57463,0.82188,1.10938,1.58656
13/05/2011,0.57463,0.82188,1.10813,1.58531
16/05/2011,0.57150,0.82188,1.10813,1.58531
17/05/2011,0.57150,0.82250,1.10875,1.58656
18/05/2011,0.57150,0.82250,1.10875,1.58656
19/05/2011,0.57025,0.82313,1.10938,1.58781
20/05/2011,0.56900,0.82438,1.10938,1.58719
23/05/2011,0.56500,0.82438,1.10750,1.58531
24/05/2011,0.56500,0.82625,1.10750,1.58656
25/05/2011,0.56438,0.82625,1.10688,1.58563
26/05/2011,0.56438,0.82625,1.10688,1.58563
27/05/2011,0.56563,0.82625,1.10688,1.58438
31/05/2011,0.56813,0.82625,1.10750,1.58500
01/06/2011,0.56813,0.82625,1.10750,1.58500
02/06/2011,0.56688,0.82625,1.10500,1.58250
03/06/2011,0.56938,0.82625,1.10500,1.58250
06/06/2011,0.56813,0.82625,1.10500,1.58250
07/06/2011,0.56813,0.82500,1.10500,1.58188
08/06/2011,0.57063,0.82438,1.10438,1.58000
09/06/2011,0.56938,0.82438,1.10313,1.57938
10/06/2011,0.56938,0.82438,1.10125,1.57688
13/06/2011,0.56938,0.82438,1.10125,1.57625
14/06/2011,0.56688,0.82438,1.10125,1.57625
15/06/2011,0.56688,0.82438,1.10125,1.57625
16/06/2011,0.56688,0.82500,1.10250,1.57625
17/06/2011,0.56688,0.82500,1.10250,1.57688
20/06/2011,0.56688,0.82500,1.10188,1.57688
21/06/2011,0.56688,0.82500,1.10188,1.57688
22/06/2011,0.56688,0.82500,1.10125,1.57500
23/06/2011,0.56563,0.82500,1.10250,1.57625
24/06/2011,0.56563,0.82500,1.10250,1.57625
27/06/2011,0.56563,0.82500,1.10250,1.57625
28/06/2011,0.56563,0.82500,1.10250,1.57625
29/06/2011,0.56688,0.82563,1.10438,1.57875
30/06/2011,0.67125,0.82563,1.10438,1.57875
