Date,ON,3M,6M,12M
18/09/2009,0.27625,0.76200,1.03500,1.25400
21/09/2009,0.27875,0.75800,1.03100,1.25200
22/09/2009,0.28375,0.75500,1.02900,1.25100
23/09/2009,0.28125,0.74900,1.02600,1.24700
24/09/2009,0.28375,0.74300,1.02100,1.24200
25/09/2009,0.28250,0.74100,1.02000,1.23800
28/09/2009,0.28000,0.73900,1.01800,1.23500
29/09/2009,0.28125,0.75000,1.01800,1.23600
30/09/2009,0.45625,0.75300,1.01600,1.23600
01/10/2009,0.28225,0.75400,1.01700,1.23700
02/10/2009,0.28075,0.75200,1.01600,1.23500
05/10/2009,0.27575,0.74600,1.01300,1.23000
06/10/2009,0.27075,0.74400,1.01000,1.22900
07/10/2009,0.27075,0.74000,1.01000,1.22500
08/10/2009,0.27200,0.74100,1.01600,1.22900
09/10/2009,0.27075,0.74300,1.02100,1.23800
12/10/2009,0.27200,0.74300,1.02300,1.24700
13/10/2009,0.53750,0.74200,1.02400,1.24700
14/10/2009,0.27625,0.74200,1.02200,1.24300
15/10/2009,0.27750,0.74000,1.02200,1.24700
16/10/2009,0.27875,0.73900,1.02200,1.25100
19/10/2009,0.27875,0.73900,1.02200,1.25800
20/10/2009,0.28000,0.73700,1.02100,1.25400
21/10/2009,0.27875,0.73500,1.02200,1.25400
22/10/2009,0.28125,0.73300,1.02100,1.25300
23/10/2009,0.27875,0.73000,1.01900,1.25400
26/10/2009,0.28375,0.73100,1.01700,1.25100
27/10/2009,0.27875,0.72800,1.01300,1.24600
28/10/2009,0.27750,0.72400,1.00800,1.23800
29/10/2009,0.27875,0.72200,1.00400,1.23500
30/10/2009,0.30750,0.72000,1.00400,1.23700
02/11/2009,0.28625,0.72200,1.00400,1.23700
03/11/2009,0.28375,0.72000,1.00100,1.23600
04/11/2009,0.28375,0.71900,1.00200,1.23800
05/11/2009,0.28125,0.71600,1.00000,1.23700
06/11/2009,0.28250,0.71600,0.99700,1.23600
09/11/2009,0.28063,0.71500,0.99400,1.23100
10/11/2009,0.57500,0.71500,0.99200,1.22900
11/11/2009,0.29188,0.71500,0.99200,1.23000
12/11/2009,0.29438,0.71400,0.99100,1.22600
13/11/2009,0.29563,0.71400,0.98900,1.22400
16/11/2009,0.29938,0.71400,0.98800,1.22200
17/11/2009,0.30313,0.71500,0.98800,1.22300
18/11/2009,0.30563,0.71500,0.98700,1.22400
19/11/2009,0.31250,0.71500,0.98700,1.22400
20/11/2009,0.31125,0.71400,0.98700,1.22400
23/11/2009,0.31000,0.71500,0.99100,1.23300
24/11/2009,0.31000,0.71600,0.99100,1.23100
25/11/2009,0.30750,0.71600,0.99300,1.23500
26/11/2009,0.30875,0.71700,0.99400,1.23600
27/11/2009,0.30875,0.71800,0.99300,1.23200
30/11/2009,0.38625,0.71900,0.99500,1.23400
01/12/2009,0.30750,0.72000,0.99700,1.23600
02/12/2009,0.30375,0.72100,0.99800,1.23500
03/12/2009,0.30000,0.72000,0.99900,1.24100
04/12/2009,0.30250,0.71800,0.99600,1.23900
07/12/2009,0.69250,0.71700,0.99800,1.24500
08/12/2009,0.30875,0.71600,0.99600,1.24200
09/12/2009,0.30875,0.71500,0.99600,1.24200
10/12/2009,0.31000,0.71400,0.99700,1.24300
11/12/2009,0.30875,0.71400,0.99600,1.24500
14/12/2009,0.31375,0.71500,0.99900,1.24700
15/12/2009,0.31375,0.71500,0.99800,1.24800
16/12/2009,0.30875,0.71500,0.99800,1.24600
17/12/2009,0.30000,0.71200,0.99700,1.24200
18/12/2009,0.29625,0.71000,0.99500,1.24000
21/12/2009,0.29375,0.70900,0.99500,1.24000
22/12/2009,0.29125,0.70800,0.99300,1.24100
23/12/2009,0.28875,0.70600,0.99200,1.23900
24/12/2009,0.28750,0.70700,0.99100,1.24100
28/12/2009,0.28875,0.70600,0.99200,1.24100
29/12/2009,0.28500,0.70700,0.99300,1.24500
30/12/2009,0.28375,0.70000,0.99300,1.24700
31/12/2009,0.29125,0.70000,0.99400,1.24800
04/01/2010,0.28000,0.70000,0.99600,1.25100
05/01/2010,0.27750,0.69900,0.99500,1.24900
06/01/2010,0.27625,0.69400,0.99200,1.24600
07/01/2010,0.27750,0.69200,0.98900,1.24300
08/01/2010,0.27625,0.69100,0.98600,1.24200
11/01/2010,0.27500,0.68900,0.98500,1.23900
12/01/2010,0.27625,0.68500,0.98300,1.23600
13/01/2010,0.27625,0.68400,0.98100,1.23600
14/01/2010,0.27500,0.68200,0.98100,1.23500
15/01/2010,0.27500,0.68000,0.97700,1.22800
18/01/2010,0.27625,0.67700,0.97500,1.22500
19/01/2010,0.61500,0.67500,0.97400,1.22700
20/01/2010,0.28250,0.67400,0.97200,1.22600
21/01/2010,0.28375,0.67200,0.96800,1.22500
22/01/2010,0.28625,0.67000,0.96600,1.22200
25/01/2010,0.28500,0.66900,0.96500,1.22200
26/01/2010,0.28563,0.66700,0.96400,1.22000
27/01/2010,0.28125,0.66500,0.96400,1.22000
28/01/2010,0.28125,0.66500,0.96600,1.22600
29/01/2010,0.28688,0.66500,0.96600,1.22500
01/02/2010,0.28125,0.66500,0.96600,1.22600
02/02/2010,0.28125,0.66500,0.96700,1.22800
03/02/2010,0.28125,0.66500,0.96700,1.22800
04/02/2010,0.28125,0.66500,0.96700,1.22800
05/02/2010,0.28125,0.66300,0.96500,1.22200
08/02/2010,0.28125,0.66100,0.96500,1.22200
09/02/2010,0.61750,0.66100,0.96600,1.22700
10/02/2010,0.28438,0.66200,0.96600,1.22700
11/02/2010,0.28250,0.66200,0.96600,1.22900
12/02/2010,0.28250,0.66300,0.96700,1.22800
15/02/2010,0.28500,0.66100,0.96300,1.22400
16/02/2010,0.28500,0.66300,0.96400,1.22400
17/02/2010,0.28500,0.66200,0.96500,1.22500
18/02/2010,0.28313,0.66000,0.96300,1.22400
19/02/2010,0.28313,0.66100,0.96500,1.22700
22/02/2010,0.28313,0.66100,0.96500,1.22800
23/02/2010,0.28313,0.66100,0.96400,1.22800
24/02/2010,0.28125,0.65900,0.96300,1.22600
25/02/2010,0.28000,0.65800,0.95900,1.21800
26/02/2010,0.28250,0.65600,0.95800,1.21500
01/03/2010,0.28125,0.65500,0.95900,1.21600
02/03/2010,0.28000,0.65500,0.95800,1.21500
03/03/2010,0.28000,0.65500,0.95700,1.21400
04/03/2010,0.27875,0.65400,0.95700,1.21800
05/03/2010,0.27875,0.65300,0.95600,1.21600
08/03/2010,0.27750,0.65200,0.95700,1.21800
09/03/2010,0.63750,0.65200,0.95600,1.21600
