Date,EUR/USD,JPY/USD,GBP/USD
23/07/2014,1.346,0.00984949,1.7032
24/07/2014,1.3463,0.00982183,1.6985
25/07/2014,1.3432,0.00982067,1.6977
28/07/2014,1.3433,0.00981643,1.6983
29/07/2014,1.341,0.00979422,1.6944
30/07/2014,1.3393,0.00972289,1.6909
31/07/2014,1.3388,0.00972289,1.6883
01/08/2014,1.3423,0.00974810,1.6823
04/08/2014,1.342,0.00975048,1.6858
05/08/2014,1.3375,0.00974725,1.6877
06/08/2014,1.3379,0.00979940,1.6852
07/08/2014,1.3364,0.00980305,1.6835
08/08/2014,1.3412,0.00979806,1.6777
11/08/2014,1.3384,0.00978301,1.6788
12/08/2014,1.3367,0.00978224,1.6811
13/08/2014,1.3368,0.00976028,1.6688
14/08/2014,1.3369,0.00976219,1.6688
15/08/2014,1.3392,0.00977115,1.6694
18/08/2014,1.3361,0.00975229,1.6728
19/08/2014,1.3321,0.00971911,1.6619
20/08/2014,1.3263,0.00964171,1.6601
21/08/2014,1.328,0.00963298,1.6581
22/08/2014,1.3244,0.00962084,1.6573
25/08/2014,1.3194,0.00961704,1.658
26/08/2014,1.3176,0.00960799,1.6547
27/08/2014,1.3197,0.00962834,1.6577
28/08/2014,1.3184,0.00964682,1.6589
29/08/2014,1.3139,0.00961196,1.6601
01/09/2014,1.3136,0.00959214,1.6618
02/09/2014,1.3133,0.00951837,1.6475
03/09/2014,1.3145,0.00954034,1.6455
04/09/2014,1.2945,0.00951302,1.6342
05/09/2014,1.2952,0.00951746,1.6328
08/09/2014,1.2899,0.00943485,1.611
09/09/2014,1.2943,0.00941610,1.6107
10/09/2014,1.2908,0.00936329,1.6194
11/09/2014,1.2917,0.00933794,1.622
12/09/2014,1.2949,0.00931844,1.6258
15/09/2014,1.2939,0.00933062,1.6231
16/09/2014,1.2962,0.00933184,1.6275
17/09/2014,1.2879,0.00923250,1.6263
18/09/2014,1.2918,0.00919531,1.6375
19/09/2014,1.2836,0.00917784,1.631
22/09/2014,1.2844,0.00919185,1.6358
23/09/2014,1.2857,0.00918383,1.6401
24/09/2014,1.2786,0.00917540,1.6342
25/09/2014,1.2749,0.00920386,1.6316
26/09/2014,1.2681,0.00914887,1.6246
29/09/2014,1.269,0.00913659,1.6247
30/09/2014,1.2629,0.00911701,1.6208
01/10/2014,1.2615,0.00916926,1.6182
02/10/2014,1.2669,0.00922594,1.6141
03/10/2014,1.251,0.00911253,1.5975
06/10/2014,1.2645,0.00918923,1.6078
07/10/2014,1.2678,0.00926346,1.6104
08/10/2014,1.2721,0.00923591,1.6153
09/10/2014,1.2681,0.00926406,1.6112
10/10/2014,1.2613,0.00927979,1.6051
13/10/2014,1.2693,0.00933724,1.6071
14/10/2014,1.2657,0.00934570,1.5908
15/10/2014,1.2802,0.00942329,1.5962
16/10/2014,1.2796,0.00939867,1.6077
17/10/2014,1.2761,0.00935698,1.6095
20/10/2014,1.2808,0.00936329,1.6175
21/10/2014,1.2722,0.00935453,1.6116
22/10/2014,1.2642,0.00933140,1.6051
23/10/2014,1.265,0.00924428,1.6022
24/10/2014,1.2668,0.00925154,1.6084
27/10/2014,1.2706,0.00928160,1.6126
28/10/2014,1.2736,0.00924769,1.6136
29/10/2014,1.2644,0.00918754,1.6008
30/10/2014,1.2613,0.00915516,1.6006
31/10/2014,1.253,0.00890805,1.5995
03/11/2014,1.2489,0.00878804,1.5982
04/11/2014,1.2549,0.00880266,1.5997
05/11/2014,1.248,0.00871702,1.5972
06/11/2014,1.2378,0.00868583,1.5837
07/11/2014,1.2453,0.00872714,1.5876
10/11/2014,1.242,0.00870481,1.5846
11/11/2014,1.2479,0.00866693,1.592
12/11/2014,1.2431,0.00865261,1.5785
13/11/2014,1.2482,0.00864461,1.5715
14/11/2014,1.2525,0.00859771,1.5672
17/11/2014,1.2452,0.00858870,1.5641
18/11/2014,1.2534,0.00855336,1.5634
19/11/2014,1.2538,0.00847601,1.567
20/11/2014,1.2545,0.00847342,1.5695
21/11/2014,1.2387,0.00849112,1.5649
24/11/2014,1.2439,0.00845580,1.5707
25/11/2014,1.2477,0.00847960,1.5711
26/11/2014,1.2508,0.00849415,1.5798
27/11/2014,1.2474,0.00849213,1.5724
28/11/2014,1.2441,0.00842729,1.5626
01/12/2014,1.2475,0.00845008,1.5738
02/12/2014,1.2379,0.00838483,1.5637
03/12/2014,1.2313,0.00834668,1.5685
04/12/2014,1.2378,0.00834515,1.5672
05/12/2014,1.2289,0.00823587,1.5579
08/12/2014,1.2318,0.00829538,1.5653
09/12/2014,1.2367,0.00835463,1.5662
10/12/2014,1.2443,0.00847658,1.5713
11/12/2014,1.2385,0.00838574,1.5713
12/12/2014,1.2458,0.00843063,1.572
15/12/2014,1.2441,0.00850390,1.5652
16/12/2014,1.25,0.00853672,1.573
17/12/2014,1.2343,0.00842601,1.5576
18/12/2014,1.2283,0.00841963,1.5669
19/12/2014,1.2225,0.00836365,1.5636
22/12/2014,1.2218,0.00833486,1.5574
23/12/2014,1.2175,0.00828225,1.5509
24/12/2014,1.2193,0.00830233,1.5557
25/12/2014,1.2239,0.00832604,1.5571
26/12/2014,1.2178,0.00830647,1.5553
29/12/2014,1.2153,0.00828363,1.551
30/12/2014,1.2153,0.00836561,1.5553
31/12/2014,1.2098,0.00834724,1.5583
01/01/2015,1.2097,0.00835701,1.555
02/01/2015,1.2004,0.00830151,1.5333
05/01/2015,1.1938,0.00835882,1.5259
06/01/2015,1.1899,0.00842672,1.5153
07/01/2015,1.1832,0.00839454,1.5106
08/01/2015,1.1789,0.00835701,1.5084
09/01/2015,1.1842,0.00843611,1.5164
12/01/2015,1.184,0.00845658,1.5176
13/01/2015,1.1771,0.00848500,1.5157
14/01/2015,1.1789,0.00852514,1.5227
15/01/2015,1.1616,0.00858958,1.518
16/01/2015,1.1567,0.00850108,1.5153
19/01/2015,1.1604,0.00849935,1.5113
20/01/2015,1.1549,0.00842268,1.5156
21/01/2015,1.1596,0.00848795,1.5135
22/01/2015,1.1339,0.00843312,1.4989
23/01/2015,1.1221,0.00848824,1.4991
26/01/2015,1.1265,0.00844309,1.5079
27/01/2015,1.1368,0.00848752,1.5196
28/01/2015,1.1291,0.00850918,1.5152
29/01/2015,1.1316,0.00844937,1.5066
30/01/2015,1.1303,0.00851607,1.5059
02/02/2015,1.134,0.00851237,1.5031
03/02/2015,1.1484,0.00850629,1.5163
04/02/2015,1.1397,0.00852449,1.5205
05/02/2015,1.1476,0.00850586,1.5334
06/02/2015,1.1322,0.00841432,1.5234
09/02/2015,1.132,0.00843049,1.5213
10/02/2015,1.1318,0.00837661,1.5253
11/02/2015,1.1302,0.00830771,1.5241
12/02/2015,1.141,0.00841226,1.5403
13/02/2015,1.1398,0.00842154,1.5401
16/02/2015,1.1404,0.00844238,1.5386
17/02/2015,1.14162,0.00838440,1.53608
18/02/2015,1.14009,0.00843163,1.54451
19/02/2015,1.13619,0.00840456,1.54085
20/02/2015,1.1375,0.00839531,1.53922
23/02/2015,1.13325,0.00841481,1.54585
24/02/2015,1.13411,0.00841049,1.54604
25/02/2015,1.13611,0.00841531,1.55268
26/02/2015,1.11959,0.00836932,1.54017
27/02/2015,1.11868,0.00835889,1.54326
02/03/2015,1.1182,0.00832431,1.5364
03/03/2015,1.11763,0.00835393,1.53655
04/03/2015,1.1074,0.00835212,1.52614
05/03/2015,1.10268,0.00832320,1.52331
06/03/2015,1.08496,0.00828486,1.5048
09/03/2015,1.08616,0.00825218,1.51332
10/03/2015,1.0697,0.00825647,1.50619
11/03/2015,1.05407,0.00823716,1.49318
12/03/2015,1.06078,0.00823852,1.4869
